codepoint,character,name
21CE,⇎,LEFT RIGHT DOUBLE ARROW WITH STROKE
21CF,⇏,RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0,⇐,LEFTWARDS DOUBLE ARROW
21D1,⇑,UPWARDS DOUBLE ARROW
21D2,⇒,RIGHTWARDS DOUBLE ARROW
21D3,⇓,DOWNWARDS DOUBLE ARROW
21D4,⇔,LEFT RIGHT DOUBLE ARROW
21D5,⇕,UP DOWN DOUBLE ARROW
21D6,⇖,NORTH WEST DOUBLE ARROW
21D7,⇗,NORTH EAST DOUBLE ARROW
21D8,⇘,SOUTH EAST DOUBLE ARROW
21D9,⇙,SOUTH WEST DOUBLE ARROW
21DA,⇚,LEFTWARDS TRIPLE ARROW
21DB,⇛,RIGHTWARDS TRIPLE ARROW
21DC,⇜,LEFTWARDS SQUIGGLE ARROW
21DD,⇝,RIGHTWARDS SQUIGGLE ARROW
21DE,⇞,UPWARDS ARROW WITH DOUBLE STROKE
21DF,⇟,DOWNWARDS ARROW WITH DOUBLE STROKE
21E0,⇠,LEFTWARDS DASHED ARROW
21E1,⇡,UPWARDS DASHED ARROW
21E2,⇢,RIGHTWARDS DASHED ARROW
21E3,⇣,DOWNWARDS DASHED ARROW
21E4,⇤,LEFTWARDS ARROW TO BAR
21E5,⇥,RIGHTWARDS ARROW TO BAR
21E6,⇦,LEFTWARDS WHITE ARROW
21E7,⇧,UPWARDS WHITE ARROW
21E8,⇨,RIGHTWARDS WHITE ARROW
21E9,⇩,DOWNWARDS WHITE ARROW
21EA,⇪,UPWARDS WHITE ARROW FROM BAR
21EB,⇫,UPWARDS WHITE ARROW ON PEDESTAL
21EC,⇬,UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED,⇭,UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
21EE,⇮,UPWARDS WHITE DOUBLE ARROW
21EF,⇯,UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
21F0,⇰,RIGHTWARDS WHITE ARROW FROM WALL
21F1,⇱,NORTH WEST ARROW TO CORNER
21F2,⇲,SOUTH EAST ARROW TO CORNER
21F3,⇳,UP DOWN WHITE ARROW
21F4,⇴,RIGHT ARROW WITH SMALL CIRCLE
21F5,⇵,DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
21F6,⇶,THREE RIGHTWARDS ARROWS
21F7,⇷,LEFTWARDS ARROW WITH VERTICAL STROKE
21F8,⇸,RIGHTWARDS ARROW WITH VERTICAL STROKE
21F9,⇹,LEFT RIGHT ARROW WITH VERTICAL STROKE
21FA,⇺,LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FB,⇻,RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FC,⇼,LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
21FD,⇽,LEFTWARDS OPEN-HEADED ARROW
21FE,⇾,RIGHTWARDS OPEN-HEADED ARROW
21FF,⇿,LEFT RIGHT OPEN-HEADED ARROW
2798,➘,HEAVY SOUTH EAST ARROW
2799,➙,HEAVY RIGHTWARDS ARROW
279A,➚,HEAVY NORTH EAST ARROW
279B,➛,DRAFTING POINT RIGHTWARDS ARROW
279C,➜,HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D,➝,TRIANGLE-HEADED RIGHTWARDS ARROW
279E,➞,HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F,➟,DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0,➠,HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1,➡,BLACK RIGHTWARDS ARROW
27B1,➱,NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B2,➲,CIRCLED HEAVY WHITE RIGHTWARDS ARROW
27B3,➳,WHITE-FEATHERED RIGHTWARDS ARROW
27B4,➴,BLACK-FEATHERED SOUTH EAST ARROW
27B5,➵,BLACK-FEATHERED RIGHTWARDS ARROW
27B6,➶,BLACK-FEATHERED NORTH EAST ARROW
27B7,➷,HEAVY BLACK-FEATHERED SOUTH EAST ARROW
27B8,➸,HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
27B9,➹,HEAVY BLACK-FEATHERED NORTH EAST ARROW
27BA,➺,TEARDROP-BARBED RIGHTWARDS ARROW
27BB,➻,HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
27BC,➼,WEDGE-TAILED RIGHTWARDS ARROW
27BD,➽,HEAVY WEDGE-TAILED RIGHTWARDS ARROW
27BE,➾,OPEN-OUTLINED RIGHTWARDS ARROW
27F0,⟰,UPWARDS QUADRUPLE ARROW
27F1,⟱,DOWNWARDS QUADRUPLE ARROW
27F2,⟲,ANTICLOCKWISE GAPPED CIRCLE ARROW
27F3,⟳,CLOCKWISE GAPPED CIRCLE ARROW
27F4,⟴,RIGHT ARROW WITH CIRCLED PLUS
27F5,⟵,LONG LEFTWARDS ARROW
27F6,⟶,LONG RIGHTWARDS ARROW
27F7,⟷,LONG LEFT RIGHT ARROW
27F8,⟸,LONG LEFTWARDS DOUBLE ARROW
27F9,⟹,LONG RIGHTWARDS DOUBLE ARROW
27FA,⟺,LONG LEFT RIGHT DOUBLE ARROW
27FB,⟻,LONG LEFTWARDS ARROW FROM BAR
27FC,⟼,LONG RIGHTWARDS ARROW FROM BAR
27FD,⟽,LONG LEFTWARDS DOUBLE ARROW FROM BAR
27FE,⟾,LONG RIGHTWARDS DOUBLE ARROW FROM BAR
27FF,⟿,LONG RIGHTWARDS SQUIGGLE ARROW
2900,⤀,RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE
2901,⤁,RIGHTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE
2902,⤂,LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE
2903,⤃,RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE
2904,⤄,LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE
2905,⤅,RIGHTWARDS TWO-HEADED ARROW FROM BAR
2906,⤆,LEFTWARDS DOUBLE ARROW FROM BAR
2907,⤇,RIGHTWARDS DOUBLE ARROW FROM BAR
2908,⤈,DOWNWARDS ARROW WITH HORIZONTAL STROKE
2909,⤉,UPWARDS ARROW WITH HORIZONTAL STROKE
290A,⤊,UPWARDS TRIPLE ARROW
290B,⤋,DOWNWARDS TRIPLE ARROW
290C,⤌,LEFTWARDS DOUBLE DASH ARROW
290D,⤍,RIGHTWARDS DOUBLE DASH ARROW
290E,⤎,LEFTWARDS TRIPLE DASH ARROW
290F,⤏,RIGHTWARDS TRIPLE DASH ARROW
2910,⤐,RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW
2911,⤑,RIGHTWARDS ARROW WITH DOTTED STEM
2912,⤒,UPWARDS ARROW TO BAR
2913,⤓,DOWNWARDS ARROW TO BAR
2914,⤔,RIGHTWARDS ARROW WITH TAIL WITH VERTICAL STROKE
2915,⤕,RIGHTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2916,⤖,RIGHTWARDS TWO-HEADED ARROW WITH TAIL
2917,⤗,RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE
2918,⤘,RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2919,⤙,LEFTWARDS ARROW-TAIL
291A,⤚,RIGHTWARDS ARROW-TAIL
291B,⤛,LEFTWARDS DOUBLE ARROW-TAIL
291C,⤜,RIGHTWARDS DOUBLE ARROW-TAIL
291D,⤝,LEFTWARDS ARROW TO BLACK DIAMOND
291E,⤞,RIGHTWARDS ARROW TO BLACK DIAMOND
291F,⤟,LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND
2920,⤠,RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND
2921,⤡,NORTH WEST AND SOUTH EAST ARROW
2922,⤢,NORTH EAST AND SOUTH WEST ARROW
2923,⤣,NORTH WEST ARROW WITH HOOK
2924,⤤,NORTH EAST ARROW WITH HOOK
2925,⤥,SOUTH EAST ARROW WITH HOOK
2926,⤦,SOUTH WEST ARROW WITH HOOK
2927,⤧,NORTH WEST ARROW AND NORTH EAST ARROW
2928,⤨,NORTH EAST ARROW AND SOUTH EAST ARROW
2929,⤩,SOUTH EAST ARROW AND SOUTH WEST ARROW
292A,⤪,SOUTH WEST ARROW AND NORTH WEST ARROW
292B,⤫,RISING DIAGONAL CROSSING FALLING DIAGONAL
292C,⤬,FALLING DIAGONAL CROSSING RISING DIAGONAL
292D,⤭,SOUTH EAST ARROW CROSSING NORTH EAST ARROW
292E,⤮,NORTH EAST ARROW CROSSING SOUTH EAST ARROW
292F,⤯,FALLING DIAGONAL CROSSING NORTH EAST ARROW
2930,⤰,RISING DIAGONAL CROSSING SOUTH EAST ARROW
2931,⤱,NORTH EAST ARROW CROSSING NORTH WEST ARROW
2932,⤲,NORTH WEST ARROW CROSSING NORTH EAST ARROW
2933,⤳,WAVE ARROW POINTING DIRECTLY RIGHT
2934,⤴,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
2935,⤵,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
2936,⤶,ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS
2937,⤷,ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS
2938,⤸,RIGHT-SIDE ARC CLOCKWISE ARROW
2939,⤹,LEFT-SIDE ARC ANTICLOCKWISE ARROW
293A,⤺,TOP ARC ANTICLOCKWISE ARROW
293B,⤻,BOTTOM ARC ANTICLOCKWISE ARROW
293C,⤼,TOP ARC CLOCKWISE ARROW WITH MINUS
293D,⤽,TOP ARC ANTICLOCKWISE ARROW WITH PLUS
293E,⤾,LOWER RIGHT SEMICIRCULAR CLOCKWISE ARROW
293F,⤿,LOWER LEFT SEMICIRCULAR ANTICLOCKWISE ARROW
2940,⥀,ANTICLOCKWISE CLOSED CIRCLE ARROW
2941,⥁,CLOCKWISE CLOSED CIRCLE ARROW
2942,⥂,RIGHTWARDS ARROW ABOVE SHORT LEFTWARDS ARROW
2943,⥃,LEFTWARDS ARROW ABOVE SHORT RIGHTWARDS ARROW
2944,⥄,SHORT RIGHTWARDS ARROW ABOVE LEFTWARDS ARROW
2945,⥅,RIGHTWARDS ARROW WITH PLUS BELOW
2946,⥆,LEFTWARDS ARROW WITH PLUS BELOW
2947,⥇,RIGHTWARDS ARROW THROUGH X
2948,⥈,LEFT RIGHT ARROW THROUGH SMALL CIRCLE
2949,⥉,UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE
294A,⥊,LEFT BARB UP RIGHT BARB DOWN HARPOON
294B,⥋,LEFT BARB DOWN RIGHT BARB UP HARPOON
294C,⥌,UP BARB RIGHT DOWN BARB LEFT HARPOON
294D,⥍,UP BARB LEFT DOWN BARB RIGHT HARPOON
294E,⥎,LEFT BARB UP RIGHT BARB UP HARPOON
294F,⥏,UP BARB RIGHT DOWN BARB RIGHT HARPOON
2950,⥐,LEFT BARB DOWN RIGHT BARB DOWN HARPOON
2951,⥑,UP BARB LEFT DOWN BARB LEFT HARPOON
2952,⥒,LEFTWARDS HARPOON WITH BARB UP TO BAR
2953,⥓,RIGHTWARDS HARPOON WITH BARB UP TO BAR
2954,⥔,UPWARDS HARPOON WITH BARB RIGHT TO BAR
2955,⥕,DOWNWARDS HARPOON WITH BARB RIGHT TO BAR
2956,⥖,LEFTWARDS HARPOON WITH BARB DOWN TO BAR
2957,⥗,RIGHTWARDS HARPOON WITH BARB DOWN TO BAR
2958,⥘,UPWARDS HARPOON WITH BARB LEFT TO BAR
2959,⥙,DOWNWARDS HARPOON WITH BARB LEFT TO BAR
295A,⥚,LEFTWARDS HARPOON WITH BARB UP FROM BAR
295B,⥛,RIGHTWARDS HARPOON WITH BARB UP FROM BAR
295C,⥜,UPWARDS HARPOON WITH BARB RIGHT FROM BAR
295D,⥝,DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR
295E,⥞,LEFTWARDS HARPOON WITH BARB DOWN FROM BAR
295F,⥟,RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR
2960,⥠,UPWARDS HARPOON WITH BARB LEFT FROM BAR
2961,⥡,DOWNWARDS HARPOON WITH BARB LEFT FROM BAR
2962,⥢,LEFTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB DOWN
2963,⥣,UPWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
2964,⥤,RIGHTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
2965,⥥,DOWNWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
2966,⥦,LEFTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB UP
2967,⥧,LEFTWARDS HARPOON WITH BARB DOWN ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
2968,⥨,RIGHTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB UP
2969,⥩,RIGHTWARDS HARPOON WITH BARB DOWN ABOVE LEFTWARDS HARPOON WITH BARB DOWN
296A,⥪,LEFTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
296B,⥫,LEFTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
296C,⥬,RIGHTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
296D,⥭,RIGHTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
296E,⥮,UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
296F,⥯,DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
2970,⥰,RIGHT DOUBLE ARROW WITH ROUNDED HEAD
2971,⥱,EQUALS SIGN ABOVE RIGHTWARDS ARROW
2972,⥲,TILDE OPERATOR ABOVE RIGHTWARDS ARROW
2973,⥳,LEFTWARDS ARROW ABOVE TILDE OPERATOR
2974,⥴,RIGHTWARDS ARROW ABOVE TILDE OPERATOR
2975,⥵,RIGHTWARDS ARROW ABOVE ALMOST EQUAL TO
2976,⥶,LESS-THAN ABOVE LEFTWARDS ARROW
2977,⥷,LEFTWARDS ARROW THROUGH LESS-THAN
2978,⥸,GREATER-THAN ABOVE RIGHTWARDS ARROW
2979,⥹,SUBSET ABOVE RIGHTWARDS ARROW
297A,⥺,LEFTWARDS ARROW THROUGH SUBSET
297B,⥻,SUPERSET ABOVE LEFTWARDS ARROW
297C,⥼,LEFT FISH TAIL
297D,⥽,RIGHT FISH TAIL
297E,⥾,UP FISH TAIL
297F,⥿,DOWN FISH TAIL
2B00,⬀,NORTH EAST WHITE ARROW
2B01,⬁,NORTH WEST WHITE ARROW
2B02,⬂,SOUTH EAST WHITE ARROW
2B03,⬃,SOUTH WEST WHITE ARROW
2B04,⬄,LEFT RIGHT WHITE ARROW
2B05,⬅,LEFTWARDS BLACK ARROW
2B06,⬆,UPWARDS BLACK ARROW
2B07,⬇,DOWNWARDS BLACK ARROW
2B08,⬈,NORTH EAST BLACK ARROW
2B09,⬉,NORTH WEST BLACK ARROW
2B0A,⬊,SOUTH EAST BLACK ARROW
2B0B,⬋,SOUTH WEST BLACK ARROW
2B0C,⬌,LEFT RIGHT BLACK ARROW
2B0D,⬍,UP DOWN BLACK ARROW
2B0E,⬎,RIGHTWARDS ARROW WITH TIP DOWNWARDS
2B0F,⬏,RIGHTWARDS ARROW WITH TIP UPWARDS
2B10,⬐,LEFTWARDS ARROW WITH TIP DOWNWARDS
2B11,⬑,LEFTWARDS ARROW WITH TIP UPWARDS
2B30,⬰,LEFT ARROW WITH SMALL CIRCLE
2B31,⬱,THREE LEFTWARDS ARROWS
2B32,⬲,LEFT ARROW WITH CIRCLED PLUS
2B33,⬳,LONG LEFTWARDS SQUIGGLE ARROW
2B34,⬴,LEFTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE
2B35,⬵,LEFTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE
2B36,⬶,LEFTWARDS TWO-HEADED ARROW FROM BAR
2B37,⬷,LEFTWARDS TWO-HEADED TRIPLE DASH ARROW
2B38,⬸,LEFTWARDS ARROW WITH DOTTED STEM
2B39,⬹,LEFTWARDS ARROW WITH TAIL WITH VERTICAL STROKE
2B3A,⬺,LEFTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3B,⬻,LEFTWARDS TWO-HEADED ARROW WITH TAIL
2B3C,⬼,LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE
2B3D,⬽,LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
2B3E,⬾,LEFTWARDS ARROW THROUGH X
2B3F,⬿,WAVE ARROW POINTING DIRECTLY LEFT
2B40,⭀,EQUALS SIGN ABOVE LEFTWARDS ARROW
2B41,⭁,REVERSE TILDE OPERATOR ABOVE LEFTWARDS ARROW
2B42,⭂,LEFTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B43,⭃,RIGHTWARDS ARROW THROUGH GREATER-THAN
2B44,⭄,RIGHTWARDS ARROW THROUGH SUPERSET
2B45,⭅,LEFTWARDS QUADRUPLE ARROW
2B46,⭆,RIGHTWARDS QUADRUPLE ARROW
2B47,⭇,REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW
2B48,⭈,RIGHTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
2B49,⭉,TILDE OPERATOR ABOVE LEFTWARDS ARROW
2B4A,⭊,LEFTWARDS ARROW ABOVE ALMOST EQUAL TO
2B4B,⭋,LEFTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4C,⭌,RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4D,⭍,DOWNWARDS TRIANGLE-HEADED ZIGZAG ARROW
2B4E,⭎,SHORT SLANTED NORTH ARROW
2B4F,⭏,SHORT BACKSLANTED SOUTH ARROW
2B5A,⭚,SLANTED NORTH ARROW WITH HOOKED HEAD
2B5B,⭛,BACKSLANTED SOUTH ARROW WITH HOOKED TAIL
2B5C,⭜,SLANTED NORTH ARROW WITH HORIZONTAL TAIL
2B5D,⭝,BACKSLANTED SOUTH ARROW WITH HORIZONTAL TAIL
2B5E,⭞,BENT ARROW POINTING DOWNWARDS THEN NORTH EAST
2B5F,⭟,SHORT BENT ARROW POINTING DOWNWARDS THEN NORTH EAST
2B60,⭠,LEFTWARDS TRIANGLE-HEADED ARROW
2B61,⭡,UPWARDS TRIANGLE-HEADED ARROW
2B62,⭢,RIGHTWARDS TRIANGLE-HEADED ARROW
2B63,⭣,DOWNWARDS TRIANGLE-HEADED ARROW
2B64,⭤,LEFT RIGHT TRIANGLE-HEADED ARROW
2B65,⭥,UP DOWN TRIANGLE-HEADED ARROW
2B66,⭦,NORTH WEST TRIANGLE-HEADED ARROW
2B67,⭧,NORTH EAST TRIANGLE-HEADED ARROW
2B68,⭨,SOUTH EAST TRIANGLE-HEADED ARROW
2B69,⭩,SOUTH WEST TRIANGLE-HEADED ARROW
2B6A,⭪,LEFTWARDS TRIANGLE-HEADED DASHED ARROW
2B6B,⭫,UPWARDS TRIANGLE-HEADED DASHED ARROW
2B6C,⭬,RIGHTWARDS TRIANGLE-HEADED DASHED ARROW
2B6D,⭭,DOWNWARDS TRIANGLE-HEADED DASHED ARROW
2B6E,⭮,CLOCKWISE TRIANGLE-HEADED OPEN CIRCLE ARROW
2B6F,⭯,ANTICLOCKWISE TRIANGLE-HEADED OPEN CIRCLE ARROW
2B70,⭰,LEFTWARDS TRIANGLE-HEADED ARROW TO BAR
2B71,⭱,UPWARDS TRIANGLE-HEADED ARROW TO BAR
2B72,⭲,RIGHTWARDS TRIANGLE-HEADED ARROW TO BAR
2B73,⭳,DOWNWARDS TRIANGLE-HEADED ARROW TO BAR
2B76,⭶,NORTH WEST TRIANGLE-HEADED ARROW TO BAR
2B77,⭷,NORTH EAST TRIANGLE-HEADED ARROW TO BAR
2B78,⭸,SOUTH EAST TRIANGLE-HEADED ARROW TO BAR
2B79,⭹,SOUTH WEST TRIANGLE-HEADED ARROW TO BAR
2B7A,⭺,LEFTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7B,⭻,UPWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7C,⭼,RIGHTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7D,⭽,DOWNWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7E,⭾,HORIZONTAL TAB KEY
2B7F,⭿,VERTICAL TAB KEY
2B80,⮀,LEFTWARDS TRIANGLE-HEADED ARROW OVER RIGHTWARDS TRIANGLE-HEADED ARROW
2B81,⮁,UPWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF DOWNWARDS TRIANGLE-HEADED ARROW
2B82,⮂,RIGHTWARDS TRIANGLE-HEADED ARROW OVER LEFTWARDS TRIANGLE-HEADED ARROW
2B83,⮃,DOWNWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF UPWARDS TRIANGLE-HEADED ARROW
2B84,⮄,LEFTWARDS TRIANGLE-HEADED PAIRED ARROWS
2B85,⮅,UPWARDS TRIANGLE-HEADED PAIRED ARROWS
2B86,⮆,RIGHTWARDS TRIANGLE-HEADED PAIRED ARROWS
2B87,⮇,DOWNWARDS TRIANGLE-HEADED PAIRED ARROWS
2B88,⮈,LEFTWARDS BLACK CIRCLED WHITE ARROW
2B89,⮉,UPWARDS BLACK CIRCLED WHITE ARROW
2B8A,⮊,RIGHTWARDS BLACK CIRCLED WHITE ARROW
2B8B,⮋,DOWNWARDS BLACK CIRCLED WHITE ARROW
2B8C,⮌,ANTICLOCKWISE TRIANGLE-HEADED RIGHT U-SHAPED ARROW
2B8D,⮍,ANTICLOCKWISE TRIANGLE-HEADED BOTTOM U-SHAPED ARROW
2B8E,⮎,ANTICLOCKWISE TRIANGLE-HEADED LEFT U-SHAPED ARROW
2B8F,⮏,ANTICLOCKWISE TRIANGLE-HEADED TOP U-SHAPED ARROW
2B90,⮐,RETURN LEFT
2B91,⮑,RETURN RIGHT
2B92,⮒,NEWLINE LEFT
2B93,⮓,NEWLINE RIGHT
2B94,⮔,FOUR CORNER ARROWS CIRCLING ANTICLOCKWISE
2B95,⮕,RIGHTWARDS BLACK ARROW
2B98,⮘,THREE-D TOP-LIGHTED LEFTWARDS EQUILATERAL ARROWHEAD
2B99,⮙,THREE-D RIGHT-LIGHTED UPWARDS EQUILATERAL ARROWHEAD
2B9A,⮚,THREE-D TOP-LIGHTED RIGHTWARDS EQUILATERAL ARROWHEAD
2B9B,⮛,THREE-D LEFT-LIGHTED DOWNWARDS EQUILATERAL ARROWHEAD
2B9C,⮜,BLACK LEFTWARDS EQUILATERAL ARROWHEAD
2B9D,⮝,BLACK UPWARDS EQUILATERAL ARROWHEAD
2B9E,⮞,BLACK RIGHTWARDS EQUILATERAL ARROWHEAD
2B9F,⮟,BLACK DOWNWARDS EQUILATERAL ARROWHEAD
2BA0,⮠,DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS
2BA1,⮡,DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS
2BA2,⮢,UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS
2BA3,⮣,UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS
2BA4,⮤,LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS
2BA5,⮥,RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS
2BA6,⮦,LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS
2BA7,⮧,RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP DOWNWARDS
2BA8,⮨,BLACK CURVED DOWNWARDS AND LEFTWARDS ARROW
2BA9,⮩,BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
