codepoint,character,name
1FBED,🯭,BOTTOM LEFT JUSTIFIED UPPER RIGHT QUARTER BLACK CIRCLE
1FBEE,🯮,BOTTOM RIGHT JUSTIFIED UPPER LEFT QUARTER BLACK CIRCLE
1FBEF,🯯,TOP LEFT JUSTIFIED LOWER RIGHT QUARTER BLACK CIRCLE
1CC30,𜰰,UPPER LEFT TWELFTH CIRCLE
1CC31,𜰱,UPPER CENTRE LEFT TWELFTH CIRCLE
1CC32,𜰲,UPPER CENTRE RIGHT TWELFTH CIRCLE
1CC33,𜰳,UPPER RIGHT TWELFTH CIRCLE
1CC34,𜰴,UPPER MIDDLE LEFT TWELFTH CIRCLE
1CC35,𜰵,UPPER LEFT QUARTER CIRCLE
1CC36,𜰶,UPPER RIGHT QUARTER CIRCLE
1CC37,𜰷,UPPER MIDDLE RIGHT TWELFTH CIRCLE
1CC38,𜰸,LOWER MIDDLE LEFT TWELFTH CIRCLE
1CC39,𜰹,LOWER LEFT QUARTER CIRCLE
1CC3A,𜰺,LOWER RIGHT QUARTER CIRCLE
1CC3B,𜰻,LOWER MIDDLE RIGHT TWELFTH CIRCLE
1CC3C,𜰼,LOWER LEFT TWELFTH CIRCLE
1CC3D,𜰽,LOWER CENTRE LEFT TWELFTH CIRCLE
1CC3E,𜰾,LOWER CENTRE RIGHT TWELFTH CIRCLE
1CC3F,𜰿,LOWER RIGHT TWELFTH CIRCLE
1CC6B,𜱫,BLACK LARGE CIRCLE MINUS LEFT QUARTER SECTION
1CC6C,𜱬,BLACK LARGE CIRCLE MINUS UPPER QUARTER SECTION
1CC6D,𜱭,BLACK LARGE CIRCLE MINUS RIGHT QUARTER SECTION
1CC6E,𜱮,BLACK LARGE CIRCLE MINUS LOWER QUARTER SECTION
1CC7C,𜱼,SQUARE SPIRAL FROM TOP LEFT
1CC7D,𜱽,SQUARE SPIRAL FROM TOP RIGHT
1CC7E,𜱾,SQUARE SPIRAL FROM BOTTOM RIGHT
1CC7F,𜱿,SQUARE SPIRAL FROM BOTTOM LEFT
1CC80,𜲀,STRIPED LEFT-POINTING TRIANGLE
1CC81,𜲁,STRIPED UP-POINTING TRIANGLE
1CC82,𜲂,STRIPED RIGHT-POINTING TRIANGLE
1CC83,𜲃,STRIPED DOWN-POINTING TRIANGLE
1CC88,𜲈,TWO RINGS ALIGNED HORIZONTALLY
1CC89,𜲉,SQUARE FOUR CORNER SALTIRES
1CC8A,𜲊,SQUARE FOUR CORNER DIAGONALS
1CC8B,𜲋,SQUARE FOUR CORNER BLACK TRIANGLES
1CC8C,𜲌,SQUARE APERTURE
1CC8D,𜲍,INVERSE BLACK DIAMOND
1CE03,𜸃,UPPER HALF HEAVY WHITE SQUARE
1CE04,𜸄,LOWER HALF HEAVY WHITE SQUARE
1CE05,𜸅,HEAVY WHITE SQUARE CONTAINING BLACK VERY SMALL SQUARE
1CE06,𜸆,WHITE VERTICAL RECTANGLE WITH HORIZONTAL BAR
1CE07,𜸇,TOP LEFT BLACK LEFT-POINTING SMALL TRIANGLE
1CE0B,𜸋,LEFT HALF WHITE ELLIPSE
1CE0C,𜸌,RIGHT HALF WHITE ELLIPSE
1CEB3,𜺳,BLACK RIGHT TRIANGLE CARET
